"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 11, 2016","West Virginia","Clendenin (Quick)","Mountaineer Heights Drive",0,1,N/A
"November 11, 2016",Indiana,Indianapolis,"3600 block of Kenwood Avenue",1,0,N/A
"November 11, 2016",Maryland,Baltimore,"800 block of West Lexington Street",1,2,N/A
"November 11, 2016",Florida,Jacksonville,"8214 Princeton Square Boulevard",1,1,N/A
"November 11, 2016",Kentucky,Louisville,"1500 block of Indiana Avenue",1,0,N/A
"November 11, 2016",Oklahoma,"Choctaw (county)",N/A,1,0,N/A
"November 10, 2016",Nevada,"Las Vegas","1500 N Las Vegas Blvd",1,0,N/A
"November 10, 2016",Colorado,Denver,"4842 Morrison Road",0,1,N/A
"November 10, 2016",Kentucky,Lexington,"4000 block of Airport Road",0,1,N/A
"November 10, 2016",Kentucky,Louisville,"2600 block of Lomond Drive",0,1,N/A
"November 10, 2016",Nevada,"Las Vegas","2100 East Cheyenne Boulevard",1,0,N/A
"November 10, 2016",Georgia,Decatur,"2571 Candler Road",0,1,N/A
"November 10, 2016","North Carolina",Durham,"3100 block of Wedgedale Avenue",1,1,N/A
"November 10, 2016",Kansas,"Council Grove","7th and Main Street",0,1,N/A
"November 10, 2016","North Carolina",Knightdale,"520 Hinton Oaks Boulevard",0,1,N/A
"November 10, 2016",Arkansas,"Little Rock","23600 block of Highway 365",1,0,N/A
"November 10, 2016",Louisiana,Lafayette,"301 Dunand Street",0,0,N/A
"November 10, 2016",Ohio,Cleveland,"St. Clair Avenue and Nottingham Road",0,1,N/A
"November 10, 2016",Nebraska,Omaha,"58th & Corby",0,1,N/A
"November 10, 2016",Texas,"San Angelo","Abe and Harris",1,0,N/A
"November 10, 2016","North Carolina",Charlotte,"600 block of Reeves Court",0,1,N/A
"November 10, 2016",Nevada,"Las Vegas","4976 Stanley Avenue",0,1,N/A
"November 10, 2016",Ohio,Painesville,"Mentor Avenue and Chatfield Drive",0,1,N/A
"November 10, 2016",Indiana,Indianapolis,"2490 Post Drive",0,0,N/A
"November 10, 2016",California,"Humboldt (county)","Scenic Drive",0,0,N/A
"November 10, 2016",Florida,Miami,"980 Northwest 36th Street",1,0,N/A
"November 10, 2016",California,Oakland,"1100 block of 77th Avenue",0,2,N/A
"November 10, 2016",Kentucky,Louisville,"200 block of South 26th Street",0,1,N/A
"November 10, 2016",Kentucky,Louisville,"4900 block of South First Street",1,0,N/A
"November 10, 2016",Kentucky,Lexington,"1515 Russell Cave Road",0,0,N/A
"November 10, 2016",Illinois,Chicago,"3800 block of West Wilcox",0,1,N/A
"November 10, 2016",Illinois,"Chicago (Englewood)","1500 block of West 62nd Street",0,1,N/A
"November 10, 2016",Pennsylvania,Canonsburg,"120 Woodcrest Drive",3,1,N/A
"November 10, 2016",Illinois,"Chicago (Roseland)","10700 block of South Eggleston",0,1,N/A
"November 10, 2016","North Carolina",Charlotte,"6700 block of Albemarle Road",0,0,N/A
"November 10, 2016",Virginia,Hampton,"1st block of Hackberry Place",0,0,N/A
"November 10, 2016",Virginia,"Henry (county)","Stoney Mountain Road",1,0,N/A
"November 10, 2016","North Carolina",Asheville,"275 Deaverview Road",1,0,N/A
"November 10, 2016","North Carolina","Bessemer City","New Moon Lane",0,1,N/A
"November 10, 2016",Pennsylvania,Philadelphia,"1200 block of Bridge Street",0,1,N/A
"November 10, 2016",Ohio,Cleveland,"2500 Metrohealth Dr",0,1,N/A
"November 10, 2016",Florida,Lakeland,"2900 block of Delrose Drive North",1,1,N/A
"November 10, 2016",Pennsylvania,Philadelphia,"Willington Street",0,0,N/A
"November 10, 2016",Florida,"Saint Petersburg (St Petersburg)","15th Avenue South and 24th Street",0,1,N/A
"November 10, 2016",Florida,Cocoa,"Fiske Boulevard and State Road 520",0,0,N/A
"November 10, 2016","North Carolina","Winston Salem (Winston-Salem)","500 block of Barbara Jane Avenue",1,0,N/A
"November 10, 2016",Illinois,Peoria,"3300 block of Southwest Adams Street",0,1,N/A
"November 10, 2016",Illinois,Peoria,"500 block of Fairholm Avenue",0,1,N/A
"November 10, 2016","North Carolina",Charlotte,"12th Street and College Street",0,1,N/A
"November 10, 2016",Wisconsin,Milwaukee,"57th Street and Philip Place",1,0,N/A
"November 10, 2016",Louisiana,Shreveport,"7100 block of Devonshire Circle",0,0,N/A
"November 10, 2016",Louisiana,Maringouin,"Valverda Road",0,2,N/A
"November 10, 2016","South Carolina",Aiken,"1925 Edgefield Highway",1,0,N/A
"November 10, 2016","West Virginia",Charleston,"800 block of Central Avenue",0,1,N/A
"November 10, 2016",Maine,Portland,"Commercial St",0,0,N/A
"November 10, 2016",Virginia,Portsmouth,"1000 block of Melvin Drive",0,1,N/A
"November 10, 2016","New Hampshire",Manchester,"135 Orange St",0,0,N/A
"November 10, 2016","New Hampshire",Claremont,"112 Charlestown Rd",0,0,N/A
"November 10, 2016",Illinois,Chicago,"Waukegan Avenue and Orchard Lane",0,1,N/A
"November 10, 2016",Illinois,Chicago,"800 block of South Winchester",0,1,N/A
"November 10, 2016",Tennessee,Memphis,"1192 Vollintine Ave",0,1,N/A
"November 10, 2016",Tennessee,Memphis,"1770 Piping Rock Drive",1,0,N/A
"November 10, 2016",Tennessee,Memphis,"6080 Primacy Parkway",0,1,N/A
"November 10, 2016","District of Columbia",Washington,"600 block of H Street NW",0,1,N/A
"November 10, 2016",Tennessee,Chattanooga,"3300 block of Pinewood Ave",0,1,N/A
"November 10, 2016",Tennessee,Lebanon,"500 Blue Devil Blvd",0,0,N/A
"November 10, 2016",Texas,"San Antonio","8200 block of Perrin Beitel Road",0,1,N/A
"November 10, 2016",Illinois,"Chicago (Englewood)","5700 block of South Shields Avenue",0,2,N/A
"November 10, 2016",Illinois,Chicago,"800 block of South Springfield",1,0,N/A
"November 10, 2016",Illinois,Chicago,"1300 block of South Homan Avenue",1,2,N/A
"November 10, 2016",Connecticut,"New Haven","210 Hamilton Street",0,2,N/A
"November 10, 2016",Arizona,"Sierra Vista","1500 block of Fry Boulevard",0,0,N/A
"November 10, 2016",Pennsylvania,Pittsburgh,"4900 Penn Ave",0,1,N/A
"November 9, 2016",Washington,Seattle,"7100 Block Martin Luther King Jr Drive",0,2,N/A
"November 9, 2016",Massachusetts,Norton,"308 East Main Street",0,0,N/A
"November 9, 2016",Texas,"San Antonio",N/A,0,0,N/A
"November 9, 2016",Pennsylvania,"Wilkes Barre","212 Wyoming Street",0,0,N/A
"November 9, 2016","South Carolina",Greenwood,"1401 Phoenix Street",0,0,N/A
"November 9, 2016",Virginia,"Newport News","Hanover Way",0,1,N/A
"November 9, 2016",Texas,"Keller (Ft Worth)",N/A,0,1,N/A
"November 9, 2016","New Jersey","Maple Shade","2825 NJ-73",0,1,N/A
"November 9, 2016",Ohio,Columbus,"Joyce Ave and Genessee Ave",0,1,N/A
"November 9, 2016",Ohio,Dayton,"800 block of Germantown Street",0,0,N/A
"November 9, 2016",Kentucky,Louisville,"7400 block of Egypt Lane",1,0,N/A
"November 9, 2016",Ohio,Cleveland,"East 122nd Street",0,0,N/A
"November 9, 2016",Texas,Killeen,"1500 block of Bundrant Drive",0,1,N/A
"November 9, 2016","North Carolina",Greensboro,"3111 East Bessemer Ave.",0,1,N/A
"November 9, 2016","New York",Jamestown,"Prospect Street",1,0,N/A
"November 9, 2016",California,Fresno,"Jenson and Holloway",0,1,N/A
"November 9, 2016","New York","New York (Manhattan)","45 Rutgers St",0,1,N/A
"November 9, 2016",Ohio,Youngstown,"1800 block of Belmont Avenue",0,0,N/A
"November 9, 2016",Kentucky,Lexington,"1111 Centre Pkwy",0,0,N/A
"November 9, 2016",Michigan,Flint,N/A,0,0,N/A
"November 9, 2016",Virginia,Richmond,"2800 block of Dunn Avenue",0,1,N/A
"November 9, 2016",Illinois,Peoria,"6301 N University St",0,0,N/A
"November 9, 2016",Illinois,"Rock Falls","301 W. 15th St",0,0,N/A
"November 9, 2016",Georgia,Brunswick,"Fifth and Lee Street",0,1,N/A
"November 9, 2016",Florida,"Coral Gables","Granada Boulevard",0,0,N/A
"November 9, 2016",California,Salinas,"1000 block of East Laurel Drive",0,1,N/A
"November 9, 2016",Illinois,Rockford,"400 S Day Ave",0,1,N/A
"November 9, 2016",Georgia,"Atlanta (Sandy Springs)",N/A,0,0,N/A
"November 9, 2016",Arizona,Phoenix,"24th Street and Cactus Road",0,1,N/A
"November 9, 2016",Arizona,Tempe,"Broadmor Drive and College Avenue",0,0,N/A
"November 9, 2016",Illinois,Chicago,"8100 block of South Racine",0,1,N/A
"November 9, 2016",Illinois,Chicago,"100 block of Springfield",0,1,N/A
"November 9, 2016",Illinois,Chicago,"600 block of South Karlov",0,1,N/A
"November 9, 2016",Colorado,Denver,"1640 Champa St",1,1,N/A
"November 9, 2016",Kentucky,Louisville,"Grandel Place",0,1,N/A
"November 9, 2016",Illinois,Chicago,"3400 block of North Albany",0,0,N/A
"November 9, 2016",Illinois,Chicago,"3000 block of West Lexington",0,1,N/A
"November 9, 2016",Illinois,Chicago,"2800 block of South Trumbull",0,1,N/A
"November 9, 2016",Virginia,Petersburg,"400 block of St Matthews Street",0,1,N/A
"November 9, 2016",California,"Los Angeles","North Wilminton Boulevard",0,0,N/A
"November 9, 2016",Virginia,"Albemarle (county)","2400 block of Commonwealth Drive",0,1,N/A
"November 9, 2016",Illinois,Chicago,"10800 block of South Sangamon",0,1,N/A
"November 9, 2016",Illinois,Chicago,"3400 block of West Monroe",0,4,N/A
"November 9, 2016","North Carolina",Garner,"6101 NC 42",0,0,N/A
"November 9, 2016","North Carolina",Charlotte,"5920 Fairmarket Place",1,0,N/A
"November 9, 2016",Tennessee,Jackson,"3470 Ridgecrest Rd Exd",0,0,N/A
"November 9, 2016","North Carolina",Salisbury,"200 block of Old Concord Road",0,0,N/A
"November 9, 2016","North Carolina",Salisbury,"500 block of South Shaver Street",0,1,N/A
"November 9, 2016","New Mexico",Taos,"Doña Ana Drive",0,1,N/A
"November 9, 2016",Maryland,Baltimore,"1700 block of North Milton Avenue",0,1,N/A
"November 9, 2016",Michigan,"Sterling Heights","Plumbrook and Schoenherr",1,0,N/A
"November 9, 2016",Georgia,"Atlanta (Dunwoody)","6750 Peachtree Industrial Boulevard",0,1,N/A
"November 9, 2016",California,"La Palma","5442 Orangethorpe Avenue",0,0,N/A
"November 9, 2016","South Carolina","Travelers Rest","Little Texas Road",2,0,N/A
"November 9, 2016","South Carolina","Horry (county)","Sly Fox Trail",0,0,N/A
"November 9, 2016","South Carolina",Laurens,N/A,0,0,N/A
"November 9, 2016",Texas,"San Antonio","2500 block of Austin Highway",0,1,N/A
"November 9, 2016",Georgia,Savannah,"400 Pennsylvania Ave.",0,1,N/A
"November 9, 2016",Illinois,Chicago,"1500 block of South Komensky",0,1,N/A
"November 9, 2016",Illinois,Chicago,"2400 block of South Springfield",1,0,N/A
"November 9, 2016",Illinois,Chicago,"6800 block of South Stony Island Drive",0,1,N/A
"November 9, 2016",Illinois,Bloomington,"1528 Julie Drive",0,1,N/A
"November 9, 2016",Louisiana,"New Orleans","Shorewood Boulevard and Curran Boulevard",0,0,N/A
"November 9, 2016",Illinois,Chicago,"500 block of North Lavergne",0,1,N/A
"November 9, 2016",Indiana,Lebanon,"1905 Indianapolis Avenue",0,1,N/A
"November 9, 2016","New Jersey","Penns Grove","100 block of South Broad Street",0,1,N/A
"November 9, 2016",Louisiana,Shreveport,"8800 block of Melody Lane",0,0,N/A
"November 9, 2016","New Jersey","Manchester Township","Beechmont Street",0,0,N/A
"November 9, 2016","New York","Corona (Queens)","138-30 Lafayette St",0,0,N/A
"November 9, 2016",Maryland,Baltimore,"2900 block of Cherryland Road",1,0,N/A
"November 9, 2016",Maryland,Baltimore,"4400 block of Adelle Terrace",1,0,N/A
"November 9, 2016",Louisiana,"New Orleans (Algiers)","General Meyer Avenue and Sullen Place",1,0,N/A
"November 9, 2016",Missouri,"Saint Louis","I-55 South and Loughborough Avenue",1,0,N/A
"November 9, 2016",Alaska,"Thorne Bay",N/A,0,1,N/A
"November 9, 2016",Virginia,Richmond,"300 block of West Marshall Street",1,0,N/A
"November 9, 2016",Maine,Waterville,"148 College Ave",0,0,N/A
"November 9, 2016","New York",Brentwood,"St. Andrews Drive",0,0,N/A
"November 9, 2016",Tennessee,Memphis,"1800 Block of East Brooks Road",0,4,N/A
"November 9, 2016",Massachusetts,Arlington,"Lee Terrace",0,0,N/A
"November 9, 2016",Texas,Tyler,"13000 Block of Emma Street",0,0,N/A
"November 9, 2016",Texas,"Fort Worth","3300 Block of North Commerce Street",0,1,N/A
"November 9, 2016",Washington,Seattle,"1524 3rd Ave",0,5,N/A
"November 9, 2016",Connecticut,Bridgeport,"Brooks and Arctic Street",0,0,N/A
"November 9, 2016",California,"San Luis Obispo","3800 block of South Higuera Street",0,0,N/A
"November 9, 2016",California,Pomona,"1018 Ashfield Avenue",0,0,N/A
"November 9, 2016",Pennsylvania,Pittsburgh,"100 Block of Bausman Street",0,0,N/A
"November 8, 2016",Massachusetts,Boston,"148 Savannah Ave",1,0,N/A
"November 8, 2016",Minnesota,Rochester,"2315 Park Lane SE",0,0,N/A
"November 8, 2016",Pennsylvania,Derry,"422 N. Chestnut St",0,0,N/A
"November 8, 2016",Oklahoma,Edmond,"1901 W 15th Street",0,0,N/A
"November 8, 2016","North Carolina",Lenoir,"Wheeler Street",0,1,N/A
"November 8, 2016",Pennsylvania,"West Mifflin","B Drive",1,0,N/A
"November 8, 2016","New York","New York (Manhattan)","West 188th Street",0,2,N/A
"November 8, 2016","New York",Bronx,"862 East 164th Street",0,1,N/A
"November 8, 2016",Ohio,"Cincinnati (North College Hill)","1900 block of Dallas Avenue",1,1,N/A
"November 8, 2016",Nevada,"Las Vegas","Wildcat Brook Court",1,0,N/A
"November 8, 2016","West Virginia",Charleston,"8 Hillcrest Drive",0,1,N/A
"November 8, 2016",Ohio,Sandusky,"4314 Milan Road",0,0,N/A
"November 8, 2016","North Carolina",Fayetteville,"520 S Reilly Rd",1,0,N/A
"November 8, 2016","North Carolina",Raleigh,"432 Hill St",1,0,N/A
"November 8, 2016",Texas,Houston,"197 Goodson Drive",1,0,N/A
"November 8, 2016",Texas,"Horseshoe Bay",N/A,0,0,N/A
"November 8, 2016",Ohio,Ashtabula,"Perryville Place and Fort Avenue",1,0,N/A
"November 8, 2016",Texas,Baytown,"5400 block of Louise Street",2,0,N/A
"November 8, 2016","New Mexico",Roswell,N/A,1,0,N/A
"November 8, 2016",Indiana,Lowell,"1600 block of Northview Drive",2,0,N/A
"November 8, 2016","New Hampshire",Manchester,"Central Street and Beech Street",0,0,N/A
"November 8, 2016","New Hampshire",Pelham,"9 Westfall Road",0,0,N/A
"November 8, 2016","New Hampshire",Rollinsford,N/A,0,0,N/A
"November 8, 2016",Pennsylvania,Philadelphia,"100 block of East Godfrey Avenue",1,0,N/A
"November 8, 2016",Illinois,Rockford,"4200 block of Harrison Avenue",0,0,N/A
"November 8, 2016",Ohio,"Cleveland (Shaker Heights)","11600 Shaker Blvd",0,1,N/A
"November 8, 2016",Virginia,"Virginia Beach","4900 block of Grazing Court",0,1,N/A
"November 8, 2016",Illinois,Chicago,"1800 block of West 45th Street",0,1,N/A
"November 8, 2016",Illinois,Chicago,"2800 block of West Lexington",0,1,N/A
"November 8, 2016",Ohio,Cleveland,"700 block of East 101st Street",0,1,N/A
"November 8, 2016","Rhode Island",Pawtucket,"Benefit Street",0,0,N/A
"November 8, 2016",Florida,"Lake Worth","2728 Lake Worth Road",0,0,N/A
"November 8, 2016",Illinois,Chicago,"800 block of North Menard",0,2,N/A
"November 8, 2016",Florida,"Cape Coral","Southeast 26th Street and Shelby Parkway",0,0,N/A
"November 8, 2016",Illinois,Chicago,"9300 block of South LaSalle",0,1,N/A
"November 8, 2016",Florida,Orlando,"5462 Clarcona Key Boulevard",0,1,N/A